---------------------------------------------------------------
Benchmark                     Time             CPU   Iterations
SoAScan/122/499712        49279 ns        49279 ns        14187
SoAScan/123/503808        49395 ns        49395 ns        14202
SoAScan/124/507904        49334 ns        49334 ns        14172
SoAScan/125/512000        49462 ns        49462 ns        14194
SoAScan/126/516096        49633 ns        49633 ns        14097
SoAScan/127/520192        49804 ns        49804 ns        13904
SoAScan/128/524288        87426 ns        87424 ns         7957
SoAScan/129/528384        50050 ns        50051 ns        13858
SoAScan/130/532480        50288 ns        50288 ns        13844
SoAScan/131/536576        50445 ns        50445 ns        13776
SoAScan/132/540672        50740 ns        50740 ns        13718
SoAScan/133/544768        51030 ns        51028 ns        13767
SoAScan/134/548864        50878 ns        50878 ns        13707
SoAScan/135/552960        51198 ns        51198 ns        13671
SoAScan/136/557056        51205 ns        51204 ns        13776
SoAScan/137/561152        51525 ns        51525 ns        13610
SoAScan/138/565248        51664 ns        51664 ns        13546
SoAScan/139/569344        51813 ns        51814 ns        13611
SoAScan/140/573440        52054 ns        52054 ns        13487
SoAScan/141/577536        52270 ns        52269 ns        13405
SoAScan/142/581632        52547 ns        52547 ns        13315
SoAScan/143/585728        52812 ns        52812 ns        13239
SoAScan/144/589824        52978 ns        52978 ns        13181
SoAScan/145/593920        52959 ns        52959 ns        13260
SoAScan/146/598016        52883 ns        52883 ns        13244
SoAScan/147/602112        52986 ns        52986 ns        13191
SoAScan/148/606208        52983 ns        52983 ns        13300
SoAScan/149/610304        52952 ns        52952 ns        13310
SoAScan/150/614400        53067 ns        53067 ns        13306
SoAScan/151/618496        52848 ns        52847 ns        13264
SoAScan/152/622592        52999 ns        52997 ns        13272
SoAScan/153/626688        52885 ns        52885 ns        13126
SoAScan/154/630784        53168 ns        53168 ns        13263
SoAScan/155/634880        53100 ns        53100 ns        13277
SoAScan/156/638976        53123 ns        53123 ns        13172
SoAScan/157/643072        53296 ns        53295 ns        13108
SoAScan/158/647168        53032 ns        53031 ns        13186
SoAScan/159/651264        53551 ns        53551 ns        12961
SoAScan/160/655360        52393 ns        52393 ns        13294
SoAScan/161/659456        53249 ns        53249 ns        13171
SoAScan/162/663552        53250 ns        53243 ns        13117
SoAScan/163/667648        53107 ns        53107 ns        13172
SoAScan/164/671744        53130 ns        53130 ns        13199
SoAScan/165/675840        53226 ns        53226 ns        13164
SoAScan/166/679936        53225 ns        53225 ns        13113
SoAScan/167/684032        53597 ns        53596 ns        13224
SoAScan/168/688128        53306 ns        53306 ns        13202
SoAScan/169/692224        53480 ns        53480 ns        13075
SoAScan/170/696320        53421 ns        53422 ns        13131
SoAScan/171/700416        53478 ns        53478 ns        13098
SoAScan/172/704512        53354 ns        53351 ns        13194
SoAScan/173/708608        53502 ns        53502 ns        13096
SoAScan/174/712704        53332 ns        53332 ns        13170
SoAScan/175/716800        53696 ns        53696 ns        13204
SoAScan/176/720896        53482 ns        53482 ns        13045
SoAScan/177/724992        53533 ns        53532 ns        13111
SoAScan/178/729088        53736 ns        53736 ns        13040
SoAScan/179/733184        53649 ns        53649 ns        13097
SoAScan/180/737280        53517 ns        53517 ns        13131
SoAScan/181/741376        53621 ns        53621 ns        13096
SoAScan/182/745472        53828 ns        53828 ns        12973
SoAScan/183/749568        53988 ns        53988 ns        13017
SoAScan/184/753664        53748 ns        53748 ns        12948
SoAScan/185/757760        53900 ns        53900 ns        13010
SoAScan/186/761856        53861 ns        53861 ns        12863
SoAScan/187/765952        54040 ns        54037 ns        12976
SoAScan/188/770048        53997 ns        53997 ns        12985
SoAScan/189/774144        53979 ns        53978 ns        12958
SoAScan/190/778240        53985 ns        53986 ns        13054
SoAScan/191/782336        54053 ns        54053 ns        12951
SoAScan/192/786432        58624 ns        58624 ns        12392
SoAScan/193/790528        54267 ns        54266 ns        12977
SoAScan/194/794624        54251 ns        54251 ns        12929
SoAScan/195/798720        54256 ns        54256 ns        12932
SoAScan/196/802816        53943 ns        53943 ns        12996
SoAScan/197/806912        54159 ns        54159 ns        12905
SoAScan/198/811008        54050 ns        54048 ns        12923
SoAScan/199/815104        54190 ns        54189 ns        12885
SoAScan/200/819200        54265 ns        54265 ns        12860
SoAScan/201/823296        54579 ns        54579 ns        12893
SoAScan/202/827392        54188 ns        54188 ns        12950
SoAScan/203/831488        54489 ns        54488 ns        12977
SoAScan/204/835584        54718 ns        54717 ns        12812
SoAScan/205/839680        54647 ns        54647 ns        12861
SoAScan/206/843776        54421 ns        54421 ns        12744
SoAScan/207/847872        54694 ns        54694 ns        12771
SoAScan/208/851968        54775 ns        54773 ns        12723
SoAScan/209/856064        54858 ns        54858 ns        12786
SoAScan/210/860160        54806 ns        54806 ns        12757
SoAScan/211/864256        54756 ns        54757 ns        12772
SoAScan/212/868352        54863 ns        54862 ns        12722
SoAScan/213/872448        54868 ns        54867 ns        12781
SoAScan/214/876544        54922 ns        54922 ns        12690
SoAScan/215/880640        55507 ns        55507 ns        12638
SoAScan/216/884736        55084 ns        55085 ns        12721
SoAScan/217/888832        55146 ns        55146 ns        12643
SoAScan/218/892928        55000 ns        54999 ns        12787
SoAScan/219/897024        55279 ns        55279 ns        12702
SoAScan/220/901120        55163 ns        55163 ns        12739
SoAScan/221/905216        55213 ns        55213 ns        12681
SoAScan/222/909312        55319 ns        55319 ns        12706
SoAScan/223/913408        55224 ns        55222 ns        12640
SoAScan/224/917504        54275 ns        54275 ns        12852
SoAScan/225/921600        55302 ns        55302 ns        12630
SoAScan/226/925696        55483 ns        55483 ns        12602
SoAScan/227/929792        55581 ns        55581 ns        12610
SoAScan/228/933888        55406 ns        55405 ns        12637
SoAScan/229/937984        55493 ns        55493 ns        12582
SoAScan/230/942080        55352 ns        55352 ns        12608
SoAScan/231/946176        55431 ns        55431 ns        12627
SoAScan/232/950272        55329 ns        55329 ns        12613
SoAScan/233/954368        55298 ns        55298 ns        12680
SoAScan/234/958464        55320 ns        55319 ns        12584
SoAScan/235/962560        55461 ns        55461 ns        11933
SoAScan/236/966656        55405 ns        55405 ns        12659
SoAScan/237/970752        55311 ns        55311 ns        12581
SoAScan/238/974848        55389 ns        55389 ns        12538
SoAScan/239/978944        55492 ns        55491 ns        12610
SoAScan/240/983040        55646 ns        55646 ns        12476
SoAScan/241/987136        55686 ns        55686 ns        12567
SoAScan/242/991232        55829 ns        55830 ns        12433
