---------------------------------------------------------------
Benchmark                     Time             CPU   Iterations
AoSScan/122/499712        48631 ns        48635 ns        14365
AoSScan/123/503808        48639 ns        48643 ns        14360
AoSScan/124/507904        48557 ns        48562 ns        14440
AoSScan/125/512000        48775 ns        48779 ns        14360
AoSScan/126/516096        48595 ns        48599 ns        14414
AoSScan/127/520192        48492 ns        48496 ns        14440
AoSScan/128/524288       105614 ns       105623 ns         6975
AoSScan/129/528384        48636 ns        48640 ns        14389
AoSScan/130/532480        48540 ns        48544 ns        14427
AoSScan/131/536576        48661 ns        48666 ns        14352
AoSScan/132/540672        48994 ns        48998 ns        14297
AoSScan/133/544768        48912 ns        48916 ns        14332
AoSScan/134/548864        48876 ns        48880 ns        14309
AoSScan/135/552960        48963 ns        48967 ns        14331
AoSScan/136/557056        49355 ns        49359 ns        14162
AoSScan/137/561152        48969 ns        48973 ns        14237
AoSScan/138/565248        49111 ns        49115 ns        14228
AoSScan/139/569344        49279 ns        49283 ns        14214
AoSScan/140/573440        49281 ns        49284 ns        14203
AoSScan/141/577536        49379 ns        49383 ns        14180
AoSScan/142/581632        49395 ns        49398 ns        14158
AoSScan/143/585728        49459 ns        49462 ns        14139
AoSScan/144/589824        49544 ns        49548 ns        14120
AoSScan/145/593920        49545 ns        49548 ns        14147
AoSScan/146/598016        49499 ns        49503 ns        14128
AoSScan/147/602112        49919 ns        49923 ns        14116
AoSScan/148/606208        49517 ns        49520 ns        14104
AoSScan/149/610304        49579 ns        49583 ns        14104
AoSScan/150/614400        49686 ns        49689 ns        14090
AoSScan/151/618496        49733 ns        49736 ns        13944
AoSScan/152/622592        49707 ns        49711 ns        13957
AoSScan/153/626688        49718 ns        49722 ns        14102
AoSScan/154/630784        50058 ns        50061 ns        13894
AoSScan/155/634880        50055 ns        50057 ns        13911
AoSScan/156/638976        50398 ns        50402 ns        13912
AoSScan/157/643072        50005 ns        50008 ns        13938
AoSScan/158/647168        49918 ns        49921 ns        14005
AoSScan/159/651264        50164 ns        50167 ns        13846
AoSScan/160/655360        50912 ns        50914 ns        13812
AoSScan/161/659456        50094 ns        50098 ns        13785
AoSScan/162/663552        50296 ns        50299 ns        13793
AoSScan/163/667648        50347 ns        50350 ns        13881
AoSScan/164/671744        50568 ns        50571 ns        13823
AoSScan/165/675840        50602 ns        50606 ns        13860
AoSScan/166/679936        50587 ns        50590 ns        13759
AoSScan/167/684032        50684 ns        50688 ns        13751
AoSScan/168/688128        50729 ns        50733 ns        13716
AoSScan/169/692224        50797 ns        50799 ns        13721
AoSScan/170/696320        50891 ns        50894 ns        13679
AoSScan/171/700416        50790 ns        50792 ns        13732
AoSScan/172/704512        50883 ns        50886 ns        13641
AoSScan/173/708608        50914 ns        50917 ns        13585
AoSScan/174/712704        50769 ns        50772 ns        13755
AoSScan/175/716800        50901 ns        50904 ns        13657
AoSScan/176/720896        51073 ns        51076 ns        13689
AoSScan/177/724992        50785 ns        50788 ns        13727
AoSScan/178/729088        50838 ns        50841 ns        13673
AoSScan/179/733184        50697 ns        50700 ns        13706
AoSScan/180/737280        50535 ns        50538 ns        13703
AoSScan/181/741376        50621 ns        50624 ns        13734
AoSScan/182/745472        50416 ns        50420 ns        13796
AoSScan/183/749568        50337 ns        50341 ns        13799
AoSScan/184/753664        50453 ns        50456 ns        13801
AoSScan/185/757760        50209 ns        50212 ns        13734
AoSScan/186/761856        50243 ns        50245 ns        13860
AoSScan/187/765952        50106 ns        50109 ns        13925
AoSScan/188/770048        50065 ns        50068 ns        13814
AoSScan/189/774144        50193 ns        50195 ns        13874
AoSScan/190/778240        50219 ns        50222 ns        13902
AoSScan/191/782336        50259 ns        50262 ns        13802
AoSScan/192/786432        75163 ns        75167 ns         9314
AoSScan/193/790528        50251 ns        50253 ns        13801
AoSScan/194/794624        50179 ns        50182 ns        13809
AoSScan/195/798720        50266 ns        50268 ns        13876
AoSScan/196/802816        50351 ns        50354 ns        13813
AoSScan/197/806912        50296 ns        50299 ns        13819
AoSScan/198/811008        50548 ns        50551 ns        13747
AoSScan/199/815104        50598 ns        50601 ns        13672
AoSScan/200/819200        50639 ns        50642 ns        13679
AoSScan/201/823296        50457 ns        50459 ns        13763
AoSScan/202/827392        50400 ns        50403 ns        13741
AoSScan/203/831488        50463 ns        50465 ns        13776
AoSScan/204/835584        50581 ns        50583 ns        13724
AoSScan/205/839680        50556 ns        50558 ns        13821
AoSScan/206/843776        50581 ns        50583 ns        13803
AoSScan/207/847872        50615 ns        50617 ns        13683
AoSScan/208/851968        50910 ns        50911 ns        13586
AoSScan/209/856064        50956 ns        50958 ns        13727
AoSScan/210/860160        51057 ns        51059 ns        13623
AoSScan/211/864256        50941 ns        50944 ns        13620
AoSScan/212/868352        50905 ns        50907 ns        13678
AoSScan/213/872448        51040 ns        51043 ns        13643
AoSScan/214/876544        51101 ns        51104 ns        13580
AoSScan/215/880640        51013 ns        51016 ns        13594
AoSScan/216/884736        51340 ns        51343 ns        13546
AoSScan/217/888832        50989 ns        50991 ns        13681
AoSScan/218/892928        51003 ns        51006 ns        13703
AoSScan/219/897024        51056 ns        51058 ns        13651
AoSScan/220/901120        50911 ns        50913 ns        13692
AoSScan/221/905216        51061 ns        51063 ns        13654
AoSScan/222/909312        51007 ns        51010 ns        13637
AoSScan/223/913408        50933 ns        50935 ns        13621
AoSScan/224/917504        52033 ns        52036 ns        13196
AoSScan/225/921600        51058 ns        51060 ns        13556
AoSScan/226/925696        50922 ns        50924 ns        13618
AoSScan/227/929792        51416 ns        51418 ns        13595
AoSScan/228/933888        51324 ns        51327 ns        13542
AoSScan/229/937984        51278 ns        51280 ns        13588
AoSScan/230/942080        51227 ns        51229 ns        13571
AoSScan/231/946176        51379 ns        51380 ns        13548
AoSScan/232/950272        51472 ns        51474 ns        13508
AoSScan/233/954368        51442 ns        51444 ns        13597
AoSScan/234/958464        51293 ns        51295 ns        13561
AoSScan/235/962560        59194 ns        59196 ns        13542
AoSScan/236/966656        51300 ns        51302 ns        13654
AoSScan/237/970752        51237 ns        51240 ns        13526
AoSScan/238/974848        51347 ns        51349 ns        13492
AoSScan/239/978944        51407 ns        51409 ns        13581
AoSScan/240/983040        51557 ns        51559 ns        13462
AoSScan/241/987136        51427 ns        51428 ns        13497
AoSScan/242/991232        51305 ns        51307 ns        13482
AoSScan/243/995328        51561 ns        51563 ns        13505
AoSScan/244/999424        51367 ns        51369 ns        13583
AoSScan/245/1003520       52195 ns        52196 ns        13582
AoSScan/246/1007616       76391 ns        76394 ns         9010
AoSScan/247/1011712       51254 ns        51256 ns        13552
AoSScan/248/1015808       51457 ns        51460 ns        13523
AoSScan/249/1019904       51548 ns        51550 ns        13575
AoSScan/250/1024000       51456 ns        51458 ns        13526
AoSScan/251/1028096       51464 ns        51466 ns        13486
AoSScan/252/1032192       51549 ns        51548 ns        13563
AoSScan/253/1036288       51485 ns        51487 ns        13536
AoSScan/254/1040384       51630 ns        51632 ns        13512
AoSScan/255/1044480       51789 ns        51791 ns        13561
AoSScan/256/1048576      143787 ns       143792 ns         4835
AoSScan/257/1052672       51808 ns        51808 ns        13397
AoSScan/258/1056768       51656 ns        51658 ns        13541
AoSScan/259/1060864       51536 ns        51538 ns        13496
AoSScan/260/1064960       51451 ns        51453 ns        13516
AoSScan/261/1069056       51674 ns        51673 ns        13499
AoSScan/262/1073152       51510 ns        51512 ns        13537
AoSScan/263/1077248       51619 ns        51621 ns        13458
AoSScan/264/1081344       51927 ns        51929 ns        13356
AoSScan/265/1085440       51755 ns        51757 ns        13472
AoSScan/266/1089536       51628 ns        51628 ns        13229
AoSScan/267/1093632       51630 ns        51631 ns        13419
AoSScan/268/1097728       51612 ns        51613 ns        13461
AoSScan/269/1101824       51447 ns        51448 ns        13485
AoSScan/270/1105920       51819 ns        51821 ns        13458
AoSScan/271/1110016       51633 ns        51635 ns        13487
AoSScan/272/1114112       51811 ns        51812 ns        13347
AoSScan/273/1118208       51740 ns        51742 ns        13431
AoSScan/274/1122304       51638 ns        51640 ns        13417
AoSScan/275/1126400       51634 ns        51635 ns        13481
AoSScan/276/1130496       51645 ns        51647 ns        13482
AoSScan/277/1134592       51631 ns        51633 ns        13498
AoSScan/278/1138688       51578 ns        51580 ns        13462
AoSScan/279/1142784       51793 ns        51795 ns        13456
AoSScan/280/1146880       51996 ns        51995 ns        13386
AoSScan/281/1150976       51707 ns        51708 ns        13485
AoSScan/282/1155072       51738 ns        51740 ns        13579
AoSScan/283/1159168       51729 ns        51731 ns        13489
AoSScan/284/1163264       51693 ns        51694 ns        13489
AoSScan/285/1167360       51633 ns        51635 ns        13496
AoSScan/286/1171456       51686 ns        51687 ns        13432
AoSScan/287/1175552       51690 ns        51691 ns        13464
AoSScan/288/1179648       53353 ns        53354 ns        12970
AoSScan/289/1183744       51790 ns        51790 ns        13426
AoSScan/290/1187840       51722 ns        51724 ns        13429
AoSScan/291/1191936       51655 ns        51656 ns        13424
AoSScan/292/1196032       51607 ns        51609 ns        13472
AoSScan/293/1200128       51659 ns        51661 ns        13486
AoSScan/294/1204224       51609 ns        51610 ns        13469
AoSScan/295/1208320       51529 ns        51530 ns        13426
AoSScan/296/1212416       51759 ns        51761 ns        13362
AoSScan/297/1216512       51857 ns        51858 ns        13494
AoSScan/298/1220608       51784 ns        51785 ns        13493
AoSScan/299/1224704       51564 ns        51565 ns        13479
AoSScan/300/1228800       51669 ns        51665 ns        13529
AoSScan/301/1232896       51671 ns        51672 ns        13414
AoSScan/302/1236992       51506 ns        51507 ns        13466
AoSScan/303/1241088       51584 ns        51585 ns        13435
AoSScan/304/1245184       51720 ns        51720 ns        13339
AoSScan/305/1249280       51435 ns        51436 ns        13509
AoSScan/306/1253376       51389 ns        51389 ns        13457
AoSScan/307/1257472       51456 ns        51457 ns        13430
AoSScan/308/1261568       51521 ns        51522 ns        13436
AoSScan/309/1265664       51627 ns        51628 ns        13462
AoSScan/310/1269760       51657 ns        51659 ns        13393
AoSScan/311/1273856       51602 ns        51604 ns        13507
AoSScan/312/1277952       51708 ns        51709 ns        13400
AoSScan/313/1282048       51558 ns        51559 ns        13455
AoSScan/314/1286144       51693 ns        51694 ns        13482
AoSScan/315/1290240       51550 ns        51551 ns        13411
AoSScan/316/1294336       51729 ns        51730 ns        13449
AoSScan/317/1298432       51692 ns        51693 ns        13479
AoSScan/318/1302528       51604 ns        51606 ns        13501
AoSScan/319/1306624       51655 ns        51656 ns        13495
AoSScan/320/1310720       64923 ns        64924 ns        10481
AoSScan/321/1314816       51670 ns        51671 ns        13441
AoSScan/322/1318912       51549 ns        51550 ns        13526
AoSScan/323/1323008       51733 ns        51735 ns        13462
AoSScan/324/1327104       51692 ns        51693 ns        13463
AoSScan/325/1331200       51649 ns        51650 ns        13398
AoSScan/326/1335296       51560 ns        51561 ns        13497
AoSScan/327/1339392       51481 ns        51482 ns        13520
AoSScan/328/1343488       51629 ns        51629 ns        13479
AoSScan/329/1347584       51576 ns        51578 ns        13419
AoSScan/330/1351680       51546 ns        51546 ns        13417
AoSScan/331/1355776       51409 ns        51410 ns        13515
AoSScan/332/1359872       51680 ns        51681 ns        13534
AoSScan/333/1363968       51586 ns        51587 ns        13460
AoSScan/334/1368064       51733 ns        51734 ns        13497
AoSScan/335/1372160       51748 ns        51749 ns        13442
AoSScan/336/1376256       52044 ns        52045 ns        13271
AoSScan/337/1380352       51760 ns        51761 ns        13383
AoSScan/338/1384448       51842 ns        51843 ns        13380
AoSScan/339/1388544       51810 ns        51811 ns        13434
AoSScan/340/1392640       51854 ns        51855 ns        13334
AoSScan/341/1396736       51869 ns        51869 ns        13431
AoSScan/342/1400832       51689 ns        51690 ns        13449
AoSScan/343/1404928       51767 ns        51767 ns        13466
AoSScan/344/1409024       51859 ns        51859 ns        13331
AoSScan/345/1413120       51894 ns        51895 ns        13432
AoSScan/346/1417216       51737 ns        51738 ns        13404
AoSScan/347/1421312       51769 ns        51770 ns        13404
AoSScan/348/1425408       51793 ns        51794 ns        13414
AoSScan/349/1429504       51829 ns        51829 ns        13475
AoSScan/350/1433600       51668 ns        51669 ns        13425
AoSScan/351/1437696       51836 ns        51837 ns        13366
AoSScan/352/1441792       53247 ns        53248 ns        13330
AoSScan/353/1445888       51792 ns        51793 ns        13431
AoSScan/354/1449984       51710 ns        51711 ns        13403
AoSScan/355/1454080       51742 ns        51743 ns        13388
AoSScan/356/1458176       51911 ns        51912 ns        13465
AoSScan/357/1462272       51708 ns        51708 ns        13359
AoSScan/358/1466368       51714 ns        51715 ns        13388
AoSScan/359/1470464       51624 ns        51625 ns        13366
AoSScan/360/1474560       51831 ns        51831 ns        13433
AoSScan/361/1478656       51677 ns        51678 ns        13472
AoSScan/362/1482752       51598 ns        51598 ns        13389
AoSScan/363/1486848       51515 ns        51516 ns        13534
AoSScan/364/1490944       51566 ns        51566 ns        13509
AoSScan/365/1495040       51655 ns        51655 ns        13514
AoSScan/366/1499136       51687 ns        51688 ns        13459
AoSScan/367/1503232       51656 ns        51656 ns        13464
AoSScan/368/1507328       51699 ns        51699 ns        13343
AoSScan/369/1511424       51676 ns        51676 ns        13414
AoSScan/370/1515520       51520 ns        51521 ns        13474
AoSScan/371/1519616       51533 ns        51534 ns        13449
AoSScan/372/1523712       51702 ns        51703 ns        13407
AoSScan/373/1527808       51676 ns        51677 ns        13411
AoSScan/374/1531904       51596 ns        51597 ns        13496
AoSScan/375/1536000       51612 ns        51612 ns        13511
AoSScan/376/1540096       51627 ns        51627 ns        13449
AoSScan/377/1544192       51449 ns        51450 ns        13458
AoSScan/378/1548288       51704 ns        51705 ns        13389
AoSScan/379/1552384       51651 ns        51650 ns        13483
AoSScan/380/1556480       51529 ns        51529 ns        13457
AoSScan/381/1560576       51563 ns        51563 ns        13472
AoSScan/382/1564672       51707 ns        51708 ns        13490
AoSScan/383/1568768       51728 ns        51729 ns        13473
AoSScan/384/1572864      119227 ns       119229 ns         6252
AoSScan/385/1576960       51585 ns        51586 ns        13457
AoSScan/386/1581056       51678 ns        51678 ns        13440
AoSScan/387/1585152       51592 ns        51593 ns        13474
AoSScan/388/1589248       51667 ns        51667 ns        13450
AoSScan/389/1593344       51564 ns        51565 ns        13489
AoSScan/390/1597440       51580 ns        51580 ns        13386
AoSScan/391/1601536       51444 ns        51444 ns        13547
AoSScan/392/1605632       51646 ns        51646 ns        13445
AoSScan/393/1609728       51584 ns        51584 ns        13439
AoSScan/394/1613824       51529 ns        51529 ns        13486
AoSScan/395/1617920       51530 ns        51530 ns        13535
AoSScan/396/1622016       51580 ns        51580 ns        13425
AoSScan/397/1626112       51644 ns        51644 ns        13435
AoSScan/398/1630208       51633 ns        51634 ns        13434
AoSScan/399/1634304       51581 ns        51581 ns        13458
AoSScan/400/1638400       51949 ns        51950 ns        13328
