---------------------------------------------------------------
Benchmark                     Time             CPU   Iterations
AoSScan/122/499712        45078 ns        45078 ns        15517
AoSScan/123/503808        45112 ns        45112 ns        15522
AoSScan/124/507904        45132 ns        45132 ns        15536
AoSScan/125/512000        45157 ns        45157 ns        15480
AoSScan/126/516096        45143 ns        45142 ns        15501
AoSScan/127/520192        45055 ns        45055 ns        15572
AoSScan/128/524288       139026 ns       139024 ns         6297
AoSScan/129/528384        45035 ns        45035 ns        15572
AoSScan/130/532480        44962 ns        44961 ns        15553
AoSScan/131/536576        45035 ns        45035 ns        15508
AoSScan/132/540672        45523 ns        45523 ns        15430
AoSScan/133/544768        45225 ns        45225 ns        15466
AoSScan/134/548864        45322 ns        45321 ns        15486
AoSScan/135/552960        45343 ns        45343 ns        15449
AoSScan/136/557056        45490 ns        45489 ns        15439
AoSScan/137/561152        45428 ns        45428 ns        15437
AoSScan/138/565248        45723 ns        45723 ns        15394
AoSScan/139/569344        45577 ns        45577 ns        15376
AoSScan/140/573440        45626 ns        45625 ns        15342
AoSScan/141/577536        45645 ns        45645 ns        15371
AoSScan/142/581632        45661 ns        45660 ns        15351
AoSScan/143/585728        45678 ns        45678 ns        15315
AoSScan/144/589824        45917 ns        45916 ns        15286
AoSScan/145/593920        45779 ns        45778 ns        15276
AoSScan/146/598016        45757 ns        45755 ns        15314
AoSScan/147/602112        45866 ns        45866 ns        15293
AoSScan/148/606208        47448 ns        47448 ns        15241
AoSScan/149/610304        47821 ns        47819 ns        14615
AoSScan/150/614400        47916 ns        47916 ns        14627
AoSScan/151/618496        48012 ns        48012 ns        14586
AoSScan/152/622592        48213 ns        48213 ns        14626
AoSScan/153/626688        46066 ns        46065 ns        15150
AoSScan/154/630784        46116 ns        46116 ns        15180
AoSScan/155/634880        46278 ns        46277 ns        15132
AoSScan/156/638976        46389 ns        46389 ns        15040
AoSScan/157/643072        46451 ns        46450 ns        15120
AoSScan/158/647168        46405 ns        46404 ns        15068
AoSScan/159/651264        46347 ns        46347 ns        15088
AoSScan/160/655360        47331 ns        47330 ns        14680
AoSScan/161/659456        46628 ns        46628 ns        15028
AoSScan/162/663552        46594 ns        46594 ns        15033
AoSScan/163/667648        46700 ns        46699 ns        14988
AoSScan/164/671744        46739 ns        46739 ns        14952
AoSScan/165/675840        46777 ns        46777 ns        14978
AoSScan/166/679936        46892 ns        46892 ns        14971
AoSScan/167/684032        46782 ns        46782 ns        14977
AoSScan/168/688128        47097 ns        47093 ns        14885
AoSScan/169/692224        46855 ns        46855 ns        14941
AoSScan/170/696320        46922 ns        46921 ns        14907
AoSScan/171/700416        46875 ns        46875 ns        14933
AoSScan/172/704512        46873 ns        46873 ns        14922
AoSScan/173/708608        46849 ns        46848 ns        14944
AoSScan/174/712704        46861 ns        46860 ns        14948
AoSScan/175/716800        46802 ns        46802 ns        14952
AoSScan/176/720896        47067 ns        47067 ns        14856
AoSScan/177/724992        46748 ns        46748 ns        14984
AoSScan/178/729088        46668 ns        46666 ns        14978
AoSScan/179/733184        46608 ns        46607 ns        15013
AoSScan/180/737280        46632 ns        46631 ns        15040
AoSScan/181/741376        46530 ns        46529 ns        15022
AoSScan/182/745472        46511 ns        46511 ns        15057
AoSScan/183/749568        46572 ns        46571 ns        15031
AoSScan/184/753664        46751 ns        46751 ns        14961
AoSScan/185/757760        46638 ns        46637 ns        15035
AoSScan/186/761856        46401 ns        46401 ns        15067
AoSScan/187/765952        46342 ns        46342 ns        15100
AoSScan/188/770048        46349 ns        46348 ns        15084
AoSScan/189/774144        46233 ns        46233 ns        15110
AoSScan/190/778240        46292 ns        46292 ns        15115
AoSScan/191/782336        46356 ns        46356 ns        15120
AoSScan/192/786432        80599 ns        80599 ns         8687
AoSScan/193/790528        46301 ns        46299 ns        15106
AoSScan/194/794624        46359 ns        46358 ns        15113
AoSScan/195/798720        46439 ns        46439 ns        15080
AoSScan/196/802816        46480 ns        46480 ns        15063
AoSScan/197/806912        46515 ns        46515 ns        15033
AoSScan/198/811008        46567 ns        46567 ns        15012
AoSScan/199/815104        46676 ns        46676 ns        14979
AoSScan/200/819200        47039 ns        47039 ns        14902
AoSScan/201/823296        46727 ns        46726 ns        14986
AoSScan/202/827392        46747 ns        46747 ns        14961
AoSScan/203/831488        46681 ns        46680 ns        14983
AoSScan/204/835584        46820 ns        46818 ns        14973
AoSScan/205/839680        46778 ns        46777 ns        14961
AoSScan/206/843776        46843 ns        46843 ns        14921
AoSScan/207/847872        46910 ns        46910 ns        14918
AoSScan/208/851968        47334 ns        47333 ns        14758
AoSScan/209/856064        47190 ns        47188 ns        14851
AoSScan/210/860160        47059 ns        47059 ns        14872
AoSScan/211/864256        47085 ns        47085 ns        14861
AoSScan/212/868352        47197 ns        47197 ns        14795
AoSScan/213/872448        47147 ns        47147 ns        14826
AoSScan/214/876544        47289 ns        47289 ns        14852
AoSScan/215/880640        47257 ns        47256 ns        14819
AoSScan/216/884736        47474 ns        47475 ns        14757
AoSScan/217/888832        47229 ns        47229 ns        14817
AoSScan/218/892928        47135 ns        47134 ns        14849
AoSScan/219/897024        47127 ns        47127 ns        14893
AoSScan/220/901120        47061 ns        47061 ns        14870
AoSScan/221/905216        47108 ns        47108 ns        14849
AoSScan/222/909312        47252 ns        47252 ns        14834
AoSScan/223/913408        47216 ns        47215 ns        14788
AoSScan/224/917504        48001 ns        48001 ns        14451
AoSScan/225/921600        47310 ns        47310 ns        14826
AoSScan/226/925696        47371 ns        47371 ns        14747
AoSScan/227/929792        47426 ns        47427 ns        14765
AoSScan/228/933888        47842 ns        47841 ns        14610
